title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Batman Begins,18.826145858727198,115.040024,140.0,6.0,2005.0,3,19.740350874353872
Madagascar: Escape 2 Africa,18.826145858727198,44.141021,89.0,10.0,2008.0,2,20.218919767123626
Night at the Museum: Battle of the Smithsonian,18.826145858727198,81.781591,105.0,5.0,2009.0,5,19.839215190527025
X-Men Origins: Wolverine,18.826145858727198,5.954334,107.0,4.0,2009.0,4,19.737257502281004
The Matrix Revolutions,18.826145858727198,73.313918,129.0,11.0,2003.0,4,19.86757199003344
Frozen,18.826145858727198,165.125366,102.0,11.0,2013.0,3,20.96559928670034
The Matrix Reloaded,18.826145858727198,70.78591,138.0,5.0,2003.0,4,20.42026665691664
Thor: The Dark World,18.951309000896888,99.499595,112.0,10.0,2013.0,3,20.28409616241487
Mad Max: Fury Road,18.826145858727198,434.278564,120.0,5.0,2015.0,4,19.752672922728568
Angels & Demons,18.826145858727198,67.447636,138.0,5.0,2009.0,2,19.692162951970808
Thor,18.826145858727198,86.493424,115.0,4.0,2011.0,3,19.923260617778432
Bolt,18.826145858727198,41.845878,98.0,11.0,2008.0,4,19.552018321103105
G-Force,18.826145858727198,26.710398,88.0,7.0,2009.0,5,19.49506127398727
Wrath of the Titans,18.826145858727198,44.927635,99.0,3.0,2012.0,1,19.52262082603541
Dark Shadows,18.826145858727198,50.306728,113.0,5.0,2012.0,2,19.31891808971552
Mission: Impossible - Rogue Nation,18.826145858727198,114.522237,131.0,7.0,2015.0,3,20.34102417492696
Bee Movie,18.826145858727198,29.332905,91.0,10.0,2007.0,4,19.477062331060434
Kung Fu Panda 2,18.826145858727198,51.247321,91.0,5.0,2011.0,2,20.3163380826927
The Last Airbender,18.826145858727198,33.769336,103.0,6.0,2010.0,4,19.579142213468103
Mission: Impossible III,18.826145858727198,63.079003,126.0,5.0,2006.0,3,19.80158564046345
White House Down,18.826145858727198,39.004588,131.0,6.0,2013.0,3,19.14030790466284
Mars Needs Moms,18.826145858727198,12.362599,88.0,3.0,2011.0,3,17.478886520189064
Flushed Away,18.819456870621142,22.550135,85.0,10.0,2006.0,4,17.981544838577157
Pan,18.826145858727198,48.03528,111.0,9.0,2015.0,3,18.670569987139285
Mr. Peabody & Sherman,18.7922443072814,38.73494,92.0,2.0,2014.0,3,19.42466153612519
Troy,18.980296537602072,66.803149,163.0,5.0,2004.0,3,20.024924898144217
Madagascar 3: Europe's Most Wanted,18.7922443072814,44.989192,93.0,6.0,2012.0,2,20.431470349323817
Die Another Day,18.757152987716434,54.159392,133.0,11.0,2002.0,3,19.88386928517694
Ghostbusters,18.78532386448472,66.21806,116.0,7.0,2016.0,3,19.24987650261555
Armageddon,18.757152987716434,58.485967,151.0,7.0,1998.0,4,20.13231338683012
Men in Black II,18.757152987716434,91.332849,88.0,7.0,2002.0,4,19.906410410289904
Beowulf,18.064005814299346,35.601665,115.0,11.0,2007.0,3,19.092276742084234
Kung Fu Panda 3,18.7922443072814,56.747978,95.0,1.0,2016.0,5,20.071588426974493
Mission: Impossible - Ghost Protocol,18.7922443072814,77.77477,133.0,12.0,2011.0,3,20.359009917029358
Rise of the Guardians,18.7922443072814,61.788035,97.0,11.0,2012.0,3,19.542168290757132
Fun with Dick and Jane,18.420680753952364,25.159168,90.0,12.0,2005.0,1,19.123907519287766
The Last Samurai,18.757152987716434,52.341226,154.0,12.0,2003.0,4,19.939666418053665
Exodus: Gods and Kings,18.757152987716434,101.599427,150.0,12.0,2014.0,3,19.40661629634851
Star Trek,18.826145858727198,73.616808,127.0,5.0,2009.0,3,19.77051972705288
Spider-Man,18.749984498289212,82.502566,121.0,5.0,2002.0,2,20.526896330538627
How to Train Your Dragon 2,18.7922443072814,100.21391,102.0,6.0,2014.0,6,20.227530856167757
